Phrase,Sentiment
A painfully slow cliche-ridden film filled with more holes than Clyde Barrow 's car .,0
One of the best looking and stylish animated movies in quite a while ...,1
It seems Grant does n't need the floppy hair and the self-deprecating stammers after all .,0
"Oops , she 's really done it this time .",0
"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",1
"Deep intelligence and a warm , enveloping affection breathe out of every frame .",1
"-LRB- Soderbergh -RRB- tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness .",0
Predecessors The Mummy and The Mummy Returns stand as intellectual masterpieces next to The Scorpion King .,0
A really good premise is frittered away in middle-of-the-road blandness .,0
Yet another entry in the sentimental oh-those-wacky-Brits genre that was ushered in by The Full Monty and is still straining to produce another smash hit .,0
"Time is a beautiful film to watch , an interesting and at times captivating take on loss and loneliness .",1
"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .",0
"The Pianist -LRB- is -RRB- a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life .",1
Jam-packed with literally bruising jokes .,0
Seems like someone going through the motions .,0
At once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance .,0
What is the filmmakers ' point ?,0
"Another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it .",0
Many of Benjamins ' elements feel like they 've been patched in from an episode of Miami Vice .,0
"An ugly , revolting movie .",0
The main problem being that it 's only a peek .,0
Jason Patric and Ray Liotta make for one splendidly cast pair .,1
This often-hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal .,1
It 's just hard to believe that a life like this can sound so dull .,0
"If you 're not fans of the adventues of Steve and Terri , you should avoid this like the dreaded King Brown snake .",0
Wait for pay per view or rental but do n't dismiss BarberShop out of hand .,0
"All very stylish and beautifully photographed , but far more trouble than it 's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .",0
"This is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one .",0
A technically well-made suspenser ... but its abrupt drop in IQ points as it races to the finish line proves simply too discouraging to let slide .,0
A funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout .,1
"Ram Dass Fierce Grace moulds itself as an example to up-and-coming documentarians , of the overlooked pitfalls of such an endeavour .",0
"A sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire .",1
Cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .,0
"It lacks the compassion , good-natured humor and the level of insight that made -LRB- Eyre 's -RRB- first film something of a sleeper success .",0
"And thanks to Kline 's superbly nuanced performance , that pondering is highly pleasurable .",1
"The film was n't preachy , but it was feminism by the book .",0
Miller comes at film with bracing intelligence and a vision both painterly and literary .,1
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",1
To Blandly Go Where We Went 8 Movies Ago ...,0
... Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,0
"Vividly demonstrates that the director of such Hollywood blockbusters as Patriot Games can still turn out a small , personal film with an emotional wallop .",1
Represents something very close to the nadir of the thriller\/horror genre .,0
"Beautifully shot against the frozen winter landscapes of Grenoble and Geneva , the film unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself .",1
A man leaving the screening said the film was better than Saving Private Ryan .,1
A soul-stirring documentary about the Israeli\/Palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,1
"Apparently designed as a reverie about memory and regret , but the only thing you 'll regret is remembering the experience of sitting through it .",0
It trusts the story it sets out to tell .,1
Bad company .,0
An engrossing and infectiously enthusiastic documentary .,1
"Its gentle , touching story creeps into your heart .",1
"Alain Choquart 's camera barely stops moving , portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .",0
The kind of sense of humor that derives from a workman 's grasp of pun and entendre and its attendant need to constantly draw attention to itself .,0
The Fast Runner ' transports the viewer into an unusual space,0
Every joke is repeated at least four times .,0
What you end up getting is the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between .,0
Noyce has worked wonders with the material .,1
"Wes Craven 's presence is felt ; not the Craven of ' A Nightmare on Elm Street ' or ` The Hills Have Eyes , ' but the sad schlock merchant of ` Deadly Friend . '",0
"On a certain base level , Blue Crush delivers what it promises , just not well enough to recommend it .",0
Gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or laugh .,0
"The screenplay , co-written by director Imogen Kimmel , lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing .",0
That 's because relatively nothing happens .,0
` Snow Dogs ' has both .,0
"The impulses that produced this project ... are commendable , but the results are uneven .",0
"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd 's film offers little else of consequence .",0
"As quiet , patient and tenacious as Mr. Lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1
"Hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels .",1
"Squandering his opportunity to make absurdist observations , Burns gets caught up in the rush of slapstick thoroughfare .",0
Topics that could make a sailor blush - but lots of laughs .,1
"It 's so laddish and juvenile , only teenage boys could possibly find it funny .",0
... one of the most entertaining monster movies in ages ...,1
"The movie 's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .",0
"With tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool .",0
The movie keeps coming back to the achingly unfunny Phonce and his several silly subplots .,0
... a mostly boring affair with a confusing sudden finale that 's likely to irk viewers .,0
A reality-snubbing hodgepodge .,0
"There are things to like about Murder By Numbers -- but , in the end , the disparate elements do n't gel .",0
What begins as a film in the tradition of The Graduate quickly switches into something more recyclable than significant .,0
Apparently reassembled from the cutting-room floor of any given daytime soap .,0
"A brisk , reverent , and subtly different sequel .",1
"The story , once it gets rolling , is nothing short of a great one .",1
"It 's not the worst comedy of the year , but it certainly wo n't win any honors .",0
Some people want the ol' ball-and-chain and then there are those who just want the Ball and Chain .,0
One of the funnier movies in town .,1
The universal theme of becoming a better person through love has never been filmed more irresistibly than in ` Baran . ',1
"American and European cinema has amassed a vast Holocaust literature , but it is impossible to think of any film more challenging or depressing than The Grey Zone .",0
"An example of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship .",1
A stylistic romp that 's always fun to watch .,1
"Film ca n't quite maintain its initial momentum , but remains sporadically funny throughout .",0
A zinger-filled crowd-pleaser that open-minded Elvis fans -LRB- but by no means all -RRB- will have fun with .,1
"Kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .",0
"The movie turns out to be -LRB- Assayas ' -RRB- homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",0
"Mattei so completely loses himself to the film 's circular structure to ever offer any insightful discourse on , well , Love in the Time of Money .",0
Returning director Rob Minkoff ... and screenwriter Bruce Joel Rubin ... have done a fine job of updating White 's dry wit to a new age .,1
That is because - damn it !,0
What a vast enterprise has been marshaled in the service of such a minute idea .,0
This may be Burns 's strongest film since The Brothers McMullen .,1
"No better or worse than ` Truth or Consequences , N.M. ' or any other interchangeable actioner with imbecilic Mafia toolbags botching a routine assignment in a Western backwater .",0
"Despite its promising cast of characters , Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",0
The big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,0
"A good music documentary , probably one of the best since The Last Waltz .",1
It is a movie about passion .,0
Certainly .,0
But what 's nice is that there 's a casual intelligence that permeates the script .,1
"Lush and beautifully photographed -LRB- somebody suggested the stills might make a nice coffee table book -RRB- , but ultimately you 'll leave the theater wondering why these people mattered .",0
... another example of how Sandler is losing his touch .,0
This is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the American underground .,1
This follow-up seems so similar to the 1953 Disney classic that it makes one long for a geriatric Peter .,0
"This movie is so bad , that it 's almost worth seeing because it 's so bad .",0
"At its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0
"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",1
"Spider-Man is in the same category as X-Men - occasionally brilliant but mostly average , showing signs of potential for the sequels , but not giving us much this time around .",0
When the twist endings were actually surprising ?,0
Much of the cast is stiff or just plain bad .,0
The last three narcissists left on earth compete for each others ' affections .,0
A compelling film .,1
"The movie is well done , but slow .",0
It is up to you to decide if you need to see it .,0
"No one can doubt the filmmakers ' motives , but The Guys still feels counterproductive .",0
Offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a Hollywood film .,1
` Christian Bale 's Quinn -LRB- is -RRB- a leather clad grunge-pirate with a hairdo like Gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent . ',0
Throwing it all away for the fleeting joys of love 's brief moment .,0
"Painful , horrifying and oppressively tragic , this film should not be missed .",1
"The most brilliant and brutal UK crime film since Jack Carter went back to Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood .",1
"Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .",1
The plot 's contrivances are uncomfortably strained .,0
It has that rare quality of being able to creep the living hell out of you ...,1
It may not be `` Last Tango in Paris '' but ...,0
"A `` Home Alone '' film that is staged like `` Rosemary 's Baby , '' but is not as well-conceived as either of those films .",0
A rather average action film that benefits from several funny moments supplied by Epps .,0
"I 'm convinced I could keep a family of five blind , crippled , Amish people alive in this situation better than these British soldiers do at keeping themselves kicking .",0
The jokes are telegraphed so far in advance they must have been lost in the mail .,0
"Give Shapiro , Goldman , and Bolado credit for good intentions , but there 's nothing here that they could n't have done in half an hour .",0
"This tale has been told and retold ; the races and rackets change , but the song remains the same .",0
A knowing sense of humor and a lot of warmth ignite Son of the Bride .,1
"Though there are entertaining and audacious moments , the movie 's wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker 's flailing reputation .",0
"The Son Of The Bride 's humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues .",1
"Even if the Naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",1
"Or for the year , for that matter .",0
I had more fun watching Spy than I had with most of the big summer movies .,1
Some movies blend together as they become distant memories .,0
Woody Allen used to ridicule movies like Hollywood Ending .,0
"It 's mildly amusing , but I certainly ca n't recommend it .",0
"They just have problems , which are neither original nor are presented in convincing way .",0
"A taut , sobering film .",1
"Far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .",0
"The way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of Gator-bashing are consistently delightful .",1
"But while the highly predictable narrative falls short , Treasure Planet is truly gorgeous to behold .",1
"Directed with purpose and finesse by England 's Roger Mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .",1
"One of these days Hollywood will come up with an original idea for a teen movie , but until then there 's always these rehashes to feed to the younger generations .",0
"Nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme .",0
"Lucky Break is perfectly inoffensive and harmless , but it 's also drab and inert .",0
Elvira fans could hardly ask for more .,1
Exactly what you 'd expect from a guy named Kaos .,0
"Like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame .",1
Only two-fifths of a satisfying movie experience .,0
"... the good and different idea -LRB- of middle-aged romance -RRB- is not handled well and , except for the fine star performances , there is little else to recommend `` Never Again . ''",0
"Murder by Numbers ' is n't a great movie , but it 's a perfectly acceptable widget .",0
But it would be better to wait for the video .,0
Delirious fun .,1
"There are some fairly unsettling scenes , but they never succeed in really rattling the viewer .",0
"Special P.O.V. camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense IMAX screen .",1
There are scenes of cinematic perfection that steal your heart away .,1
"A fantastic premise anchors this movie , but what it needs is either a more rigid , Blair Witch-style commitment to its mockumentary format , or a more straightforward , dramatic treatment , with all the grandiosity that that implies .",0
"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor ...",1
This is the best Star Trek movie in a long time .,1
Auto Focus is not your standard Hollywood bio-pic .,0
`` Not really as bad as you might think ! '',0
"Brainless , but enjoyably over-the-top , the retro gang melodrama , Deuces Wild represents fifties teen-gang machismo in a way that borders on rough-trade homo-eroticism .",0
"One of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning .",1
I saw Juwanna Mann so you do n't have to .,0
What starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .,0
... they missed the boat .,0
"A delightful , if minor , pastry of a movie .",1
"Clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",0
Fear Dot Com is more frustrating than a modem that disconnects every 10 seconds .,0
Nights feels more like a quickie TV special than a feature film ... It 's not even a TV special you 'd bother watching past the second commercial break .,0
Richly entertaining and suggestive of any number of metaphorical readings .,1
"... a bland , pretentious mess .",0
"The film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves Blue Crush waterlogged .",0
"Though Harris is affecting at times , he can not overcome the sense that Pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",0
"The overall result is an intelligent , realistic portrayal of testing boundaries .",1
"Never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three .",0
"An authentically vague , but ultimately purposeless , study in total pandemonium .",0
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",0
"She 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .",1
At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .,0
"Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .",1
I 'd be hard pressed to think of a film more cloyingly sappy than Evelyn this year .,0
"Like Shrek , Spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world .",1
"I 'll stay with the stage versions , however , which bite cleaner , and deeper .",0
"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",0
And people make fun of me for liking Showgirls .,0
You just know something terrible is going to happen .,0
"Not once in the rush to save the day did I become very involved in the proceedings ; to me , it was just a matter of ` eh . '",0
This 10th film in the series looks and feels tired .,0
Cherish is a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny .,0
"is now stretched to barely feature length , with a little more attention paid to the animation .",0
"The movie 's major and most devastating flaw is its reliance on formula , though , and it 's quite enough to lessen the overall impact the movie could have had .",0
"For a movie about the power of poetry and passion , there is precious little of either .",0
"Not to mention a sharper , cleaner camera lens .",0
"would have been benefited from a sharper , cleaner script before it went in front of the camera .",0
Intriguing and stylish .,1
"It was filled with shootings , beatings , and more cussing than you could shake a stick at .",0
It 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .,0
A biopic about Crane 's life in the classic tradition but evolves into what has become of us all in the era of video .,0
"However sincere it may be , The Rising Place never quite justifies its own existence .",0
The central character is n't complex enough to hold our interest .,0
What could have been right at home as a nifty plot line in Steven Soderbergh 's Traffic fails to arrive at any satisfying destination .,0
"You get the idea , though , that Kapur intended the film to be more than that .",0
"O.K. , not really .",0
Both deserve better .,0
"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1
"The film has too many spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kiddies .",0
Two hours of sepia-tinted heavy metal images and surround sound effects of people moaning .,0
Even kids deserve better .,0
That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,1
Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering .,0
"If The Last Man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .",0
"`` I blame all men for war , '' -LRB- the warden 's daughter -RRB- tells her father .",0
"If you do n't laugh , flee .",0
"On its own , it 's not very interesting .",0
it seems as if each watered down the version of the one before,0
"About half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal .",0
Its one-sidedness ... flirts with propaganda .,0
"One of those staggeringly well-produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily .",0
"Even as the hero of the story rediscovers his passion in life , the mood remains oddly detached .",0
"No matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a Michael Jackson sort of way .",0
"The emotion is impressively true for being so hot-blooded , and both leads are up to the task .",1
"Gooding and Coburn are both Oscar winners , a fact which , as you watch them clumsily mugging their way through Snow Dogs , seems inconceivable .",0
Why ?,0
Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,0
"It leers , offering next to little insight into its intriguing subject .",0
"Throwing in everything except someone pulling the pin from a grenade with his teeth , Windtalkers seems to have ransacked every old World War II movie for overly familiar material .",0
A reworking of Die Hard and Cliffhanger but it 's nowhere near as exciting as either .,0
"-LRB- The kid 's -RRB- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",0
"Texan director George Ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .",1
"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",0
"Star Trek was kind of terrific once , but now it is a copy of a copy of a copy .",0
"The audacity to view one of Shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion .",0
Throw Smoochy from the train !,0
"If you 're looking for something new and hoping for something entertaining , you 're in luck .",1
"De Ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .",0
Mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline .,0
A puppy dog so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks .,0
It 's the funniest American comedy since Graffiti Bridge .,1
Secretary is not a movie about fetishism .,0
More dutiful than enchanting ... terribly episodic and lacking the spark of imagination that might have made it an exhilarating treat .,0
"The only upside to all of this unpleasantness is , given its Labor Day weekend upload , FearDotCom should log a minimal number of hits .",0
The type of dumbed-down exercise in stereotypes that gives the -LRB- teen comedy -RRB- genre a bad name .,0
"an `` O Bruin , Where Art Thou ? ''",0
"... there 's a choppy , surface-effect feeling to the whole enterprise .",0
"At times , the movie looks genuinely pretty .",1
Warmed-over hash .,0
It was a dark and stormy night ...,0
Drowning 's too good for this sucker .,0
At times Auto Focus feels so distant you might as well be watching it through a telescope .,0
"For all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian .",0
A true-blue delight .,1
Kinnear 's performance is a career-defining revelation .,1
Less about Shakespeare than the spawn of fools who saw Quentin Tarantino 's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations .,0
Leaves us wondering less about its ideas and more about its characterization of Hitler and the contrived nature of its provocative conclusion .,0
Far more enjoyable than its predecessor .,1
It 's hard to fairly judge a film like RINGU when you 've seen the remake first .,0
It 's not hateful .,0
"The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .",1
Needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism .,0
"Lisa Rinzler 's cinematography may be lovely , but Love Liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension .",0
"It 's provocative stuff , but the speculative effort is hampered by Taylor 's cartoonish performance and the film 's ill-considered notion that Hitler 's destiny was shaped by the most random of chances .",0
"In -LRB- screenwriter -RRB- Charlie Kaufman 's world , truth and fiction are equally strange , and his for the taking .",0
The modern-day characters are nowhere near as vivid as the 19th-century ones .,0
All Analyze That proves is that there is really only one movie 's worth of decent gags to be gleaned from the premise .,0
Adaptation 's success in engaging the audience in the travails of creating a screenplay is extraordinary .,1
"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",1
Enigma lacks it .,0
"Real Women may have many agendas , but it also will win you over , in a big way .",1
"In his determination to lighten the heavy subject matter , Silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls .",0
The film did n't convince me that Calvin Jr. 's Barbershop represents some sort of beacon of hope in the middle of Chicago 's South Side .,0
"Anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .",0
"Busy urban comedy is clearly not Zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy .",0
"with its subject matter in a tasteful , intelligent manner",1
Ruh-roh !,0
"A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .",0
"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",0
A dreary indulgence .,0
A gushy episode of `` M \* A \* S \* H '' only this time from an Asian perspective .,0
I ca n't remember the last time I saw worse stunt editing or cheaper action movie production values than in Extreme Ops .,0
"It 's a lovely , sad dance highlighted by Kwan 's unique directing style .",1
"Though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed .",0
"When the precise nature of Matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up .",0
"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",0
"The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .",1
One suspects that Craven endorses They simply because this movie makes his own look much better by comparison .,0
"Hill looks to be going through the motions , beginning with the pale script .",0
"Sweet gentle Jesus , did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?",0
The pace of the film is very slow -LRB- for obvious reasons -RRB- and that too becomes off-putting .,0
"Steve Oedekerk is , alas , no Woody Allen .",0
The whole thing comes off like a particularly amateurish episode of Bewitched that takes place during Spring Break .,0
"Handled correctly , Wilde 's play is a masterpiece of elegant wit and artifice .",1
The dominant feeling is something like nostalgia . ',0
"Offers big , fat , dumb laughs that may make you hate yourself for giving in .",0
"Deadly dull , pointless meditation on losers in a gone-to-seed hotel .",0
"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",1
Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,0
"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive .",0
Director David Jacobson gives Dahmer a consideration that the murderer never game his victims .,0
Empire ca n't make up its mind whether it wants to be a gangster flick or an art film .,0
"The sequel is everything the original was not : contrived , overblown and tie-in ready .",0
What happens when something goes bump in the night and nobody cares ?,0
underventilated,0
on how men would act if they had periods,0
"It picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",1
The script by Vincent R. Nebrida ... tries to cram too many ingredients into one small pot .,0
Suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .,0
"fast , frantic and fun , but also soon forgotten",0
Suffice to say its total promise is left slightly unfulfilled .,0
"An enormously entertaining movie , like nothing we 've ever seen before , and yet completely familiar .",1
An odd drama set in the world of lingerie models and bar dancers in the Midwest that held my interest precisely because it did n't try to .,1
"Belongs in the too-hot-for-TV direct-to-video\/DVD category , and this is why I have given it a one-star rating .",0
Ultimately feels like just one more in the long line of films this year about the business of making movies .,0
A wordy wisp of a comedy .,0
"A punch line without a premise , a joke built entirely from musty memories of half-dimensional characters .",0
Nachtwey clears the cynicism right out of you .,0
"-LRB- It -RRB- highlights not so much the crime lord 's messianic bent , but Spacey 's .",0
The date movie that Franz Kafka would have made .,0
"This charming , thought-provoking New York fest of life and love has its rewards .",1
"Frida is certainly no disaster , but neither is it the Kahlo movie Frida fans have been looking for .",0
"Mild , meandering teen flick .",0
"Viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture .",0
"A special kind of movie , this melancholic film noir reminded me a lot of Memento ...",1
... hopefully it 'll be at the dollar theatres by the time Christmas rolls around .,0
Exposing the ways we fool ourselves is One Hour Photo 's real strength .,0
"Proof once again that if the filmmakers just follow the books , they ca n't go wrong .",1
"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",1
"Basically , it 's pretty but dumb .",0
"The art direction and costumes are gorgeous and finely detailed , and Kurys ' direction is clever and insightful .",1
"It sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",0
"They crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness .",0
"He seems to want both , but succeeds in making neither .",0
"Forgettable , if good-hearted , movie .",0
"Just as the lousy Tarantino imitations have subsided , here comes the first lousy Guy Ritchie imitation .",0
"About Amy 's cuteness , Amy 's career success -LRB- she 's a best-selling writer of self-help books who ca n't help herself -RRB- , and Amy 's neuroses when it comes to men .",0
"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",1
"A wild , endearing , masterful documentary .",1
Cool gadgets and creatures keep this fresh .,1
LaBute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .,0
"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond .",1
"Appropriately cynical social commentary aside , # 9 never quite ignites .",0
"Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .",0
"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .",0
"To me , it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .",0
Arnold !,0
It bites hard .,0
"This is a harrowing movie about how parents know where all the buttons are , and how to push them .",0
"It understands , in a way that speaks forcefully enough about the mechanisms of poverty to transcend the rather simplistic filmmaking .",0
"It 's a smartly directed , grown-up film of ideas .",1
"Spider-Man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .",0
"while -LRB- Roman Coppola -RRB- scores points for style , he staggers in terms of story .",0
is one of this year 's very best pictures .,1
"jumps around with little logic or continuity ,",0
"A static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes .",0
"Too slow for a younger crowd , too shallow for an older one .",0
The fact that the ` best part ' of the movie comes from a 60-second homage to one of Demme 's good films does n't bode well for the rest of it .,0
"The tone errs on the shrill side , tempered by a soft southern gentility that speaks of beauty , grace and a closet full of skeletons .",0
But even with the two-wrongs-make-a-right chemistry between Jolie and Burns ... this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .,0
"Benigni 's Pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .",0
"A pale Xerox of other , better crime movies .",0
A small movie with a big impact .,1
"Sodden and glum , even in those moments where it 's supposed to feel funny and light .",0
"Good performances and a realistic , non-exploitive approach make Paid in Full worth seeing .",1
"An honest , sensitive story from a Vietnamese point of view .",1
Who knew ...,0
Beautifully produced .,1
A film with almost as many delights for adults as there are for children and dog lovers .,1
Grainy photography mars an otherwise delightful comedy of errors .,0
"One of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .",0
A sloppy slapstick throwback to long gone bottom-of-the-bill fare like The Ghost and Mr. Chicken .,0
"The script is a tired one , with few moments of joy rising above the stale material .",0
"Infidelity drama is nicely shot , well-edited and features a standout performance by Diane Lane .",1
The filmmakers needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they wo n't much care about .,0
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",0
"The strength of the film comes not from any cinematic razzle-dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting .",1
